id,Indicativo,HoraDespegue,RutaSACTA,TipoAeronave,Estela,ProcDesp,PistaDesp
881,VLG8JY,02/05/2023 20:33:21,DR24LB F34BL BL800 NITBA BL804 BL807 BL808 LOTOS TORDU DCT 4008N00018E DCT 4007N00015E 004(DIKUT) 014(SOPET) 030(VLC) VILNA DCT IF10AL DCT FA10AL DCT TH10AL DCT,A320,Media,LOTOS5Q,LEBL-24L
882,RYR7B,02/05/2023 20:34:22,DR24LB F34BL BL800 BL805 BL811 BL813 DIPES TOSNU LAPIT OSPOK **,B738,Media,DIPES1Q,LEBL-24L
883,VLG7ZR,02/05/2023 20:35:47,DR24LB F34BL BL800 NITBA BL804 BL807 BL808 LOTOS TORDU DIKUT SOPET VLC SERRA ASTRO POBOS XEBAR YES MAMIS BAZAS VIBAS GDA TOLSU MAR NEPUR IF13MG FA13MG TH13MG,A320,Media,LOTOS5Q,LEBL-24L
884,RYR4UN,02/05/2023 20:37:48,DR24LB F34BL BL800 NITBA BL804 BL806 BL836 SENIA DORMI CRETA NEXAS DISVU ADUXO ELROT CJN PALIO AKOKI GOTOR TLD BARDI **,B738,Media,SENIA5Q,LEBL-24L
885,ELY392,02/05/2023 20:39:48,DR24LB F34BL BL800 BL805 BL811 BL813 DIPES TOSNU LAPIT OSPOK **,B739,Media,DIPES1Q,LEBL-24L
886,WMT9VD,02/05/2023 20:43:14,DR24LB F34BL BL800 BL805 BL811 BL827 AGENA MAROT LUMAS **,A20N,Media,AGENA5Q,LEBL-24L
887,VLG41YG,02/05/2023 20:44:25,DR24LB F34BL BL800 NITBA BL809 BL810 LARPA TOLSO LISAS F33PA POS BAVUM OBUMU FA24LP TH24LP,A320,Media,LARPA5Q,LEBL-24L
888,TAP1043,02/05/2023 20:46:25,DR24LB F34BL BL800 NITBA BL804 BL806 BL836 SENIA DCT DORMI CRETA NEXAS DISVU ADUXO ELROT CJN PALIO AKOKI GOTOR TLD NATPA MELON CCS **,CRJ9,Media,SENIA5Q,LEBL-24L
889,BCS463,02/05/2023 20:47:41,DR24LB F34BL BL800 BL805 BL811 BL827 AGENA MAROT LUMAS **,B734,Media,AGENA5Q,LEBL-24L
890,UPS243,02/05/2023 20:50:27,DR24LB F34BL BL800 BL805 BL812 DALIN PIVUS DIBER **,B763,Pesada,DALIN4Q,LEBL-24L
891,WMT5SY,02/05/2023 20:53:33,DCT DR24LB DCT F34BL DCT BL800 DCT BL805 DCT BL811 DCT BL813 DCT 4105N00320E DCT 4104N00323E/N0436F320 007(DIPES) 012(TOSNU) 030(LAPIT) OSPOK **,A21N,Media,-,LEBL-24L
892,EJU67YR,02/05/2023 21:04:06,DR24LB F34BL BL800 NITBA BL804 BL806 BL836 SENIA DORMI CRETA NEXAS DISVU ADUXO ELROT CJN PALIO AKOKI GOTOR TLD NATPA MELON CCS **,A21N,Media,SENIA5Q,LEBL-24L
893,RYR46FX,02/05/2023 21:07:16,DR24LB F34BL BL800 BL805 BL811 BL827 AGENA MAROT LUMAS **,B38M,Media,AGENA5Q,LEBL-24L
